ObjectNum,diameter,scoped,occ,DDLat,DDLong,Time,Northing,Easting,NEAR_DIST,Site,Horz_Veg,Burn
95,34,y,n,31.258102,-84.380512,6/7/2015 13:58,3463138.337,178061.503,4.079352462,Fourth_July_Block,10.4811,pre-burn
96,40,y,n,31.258096,-84.38051,6/7/2015 13:58,3463137.661,178061.638,3.403361074,Fourth_July_Block,10.1299,pre-burn
97,39,y,n,31.258009,-84.380811,6/7/2015 14:14,3463128.977,178032.676,5.261694691,Fourth_July_Block,15.3802,pre-burn
98,47,y,y,31.257992,-84.382205,6/7/2015 14:22,3463131.103,177899.85,3.044553479,Fourth_July_Block,11.0976,pre-burn
99,41,y,n,31.258088,-84.382748,6/7/2015 14:25,3463143.367,177848.357,9.254344032,Fourth_July_Block,13.6393,pre-burn
100,41,y,y,31.258471,-84.381906,6/7/2015 14:45,3463183.386,177929.926,23.78413217,Fourth_July_Block,14.0469,pre-burn
101,35,y,y,31.258575,-84.381497,6/7/2015 14:48,3463193.72,177969.248,13.15952571,Fourth_July_Block,11.9064,pre-burn
102,41,y,"y, rattle",31.258584,-84.380532,6/7/2015 14:55,3463191.869,178061.224,14.32822638,Fourth_July_Block,17.8426,pre-burn
103,45,y,y,31.258673,-84.37935,6/7/2015 15:02,3463198.355,178174.185,7.005047362,Fourth_July_Block,24.3992,pre-burn
104,42,n,n,31.257276,-84.382674,6/8/2015 14:01,3463053.026,177852.729,11.39320264,Fourth_July_Block,13.1599,pre-burn
105,36,y,n,31.257369,-84.382381,6/8/2015 14:03,3463062.542,177880.964,1.877502635,Fourth_July_Block,19.7173,pre-burn
106,18,y,n,31.257329,-84.382244,6/8/2015 14:06,3463057.644,177893.868,6.775902636,Fourth_July_Block,20.0021,pre-burn
107,43,y,n,31.257557,-84.379441,6/8/2015 14:34,3463074.749,178161.736,10.32989736,Fourth_July_Block,9.2052,pre-burn
108,29,y,n,31.257567,-84.378634,6/8/2015 14:38,3463073.597,178238.594,9.178097364,Fourth_July_Block,7.19801,pre-burn
109,34,n,n,31.255445,-84.378941,6/6/2015 9:00,3462839.061,178202.142,16.73768662,Fourth_July_Block,11.2416,pre-burn
110,32,y,n,31.25543,-84.380126,6/6/2015 9:09,3462840.853,178089.177,16.76677886,Fourth_July_Block,15.62,pre-burn
111,33,y,n,31.255516,-84.380135,6/6/2015 9:13,3462850.438,178088.672,7.191972338,Fourth_July_Block,15.5427,pre-burn
112,35,y,n,31.255521,-84.380328,6/6/2015 9:14,3462851.587,178070.223,6.340305249,Fourth_July_Block,15.4059,pre-burn
113,38,y,n,31.255608,-84.380423,6/6/2015 9:16,3462861.448,178061.527,3.37939907,Fourth_July_Block,18.0112,pre-burn
114,32,y,n,31.255529,-84.380498,6/6/2015 9:17,3462852.902,178054.126,5.285126091,Fourth_July_Block,19.5491,pre-burn
115,8,y,y,31.255513,-84.381252,6/6/2015 9:25,3462853.419,177982.155,5.928554032,Fourth_July_Block,14.0914,pre-burn
116,26,y,y,31.255385,-84.38302,6/6/2015 9:32,3462844.322,177813.301,17.74699941,Fourth_July_Block,13.3276,pre-burn
117,22,y,n,31.255558,-84.38435,6/6/2015 9:38,3462867.368,177687.117,3.261405509,,14.6379,pre-burn
118,32,y,n,31.256045,-84.383101,6/6/2015 10:04,3462917.75,177807.818,6.729432863,Fourth_July_Block,18.9973,pre-burn
119,24,y,n,31.256237,-84.38162,6/6/2015 10:09,3462934.703,177949.608,10.24056227,Fourth_July_Block,21.7833,pre-burn
120,29,y,n,31.256074,-84.379761,6/6/2015 10:16,3462911.26,178126.126,13.1797083,Fourth_July_Block,21.3595,pre-burn
121,37,y,n,31.256165,-84.379231,6/6/2015 10:19,3462919.756,178176.962,4.677164176,Fourth_July_Block,10.6139,pre-burn
122,19,n,n,31.256772,-84.379016,6/8/2015 13:35,3462986.527,178199.539,7.152919421,Fourth_July_Block,14.6298,pre-burn
123,38,y,n,31.256775,-84.379984,6/8/2015 13:40,3462989.586,178107.295,3.364813389,Fourth_July_Block,14.8763,pre-burn
124,22,y,n,31.256764,-84.380953,6/8/2015 13:44,3462991.225,178014.941,0.996299868,Fourth_July_Block,15.2369,pre-burn
125,35,y,n,31.256656,-84.382059,6/8/2015 13:48,3462982.52,177909.152,8.863973666,Fourth_July_Block,19.861,pre-burn
126,0,n,n,31.295781,-84.455555,6/5/2015 13:31,3467539.514,171041.972,4.906802636,1yr_rough,14.7444,pre-burn
127,37,y,n,31.293276,-84.460209,6/5/2015 10:33,3467275.472,170589.931,11.05109737,2yr_rough,23.3142,pre-burn
128,34,y,n,31.298678,-84.455481,6/5/2015 11:17,3467860.556,171059.03,1.135597365,1yr_rough,5.30299,pre-burn
129,14,y,n,31.293181,-84.459519,6/5/2015 11:04,3467262.901,170655.268,1.519302635,2yr_rough,35.2233,pre-burn
130,46,y,u,31.296645,-84.455889,6/5/2015 12:24,3467636.283,171013.109,13.13790264,1yr_rough,11.2949,pre-burn
131,40,y,y,31.289361,-84.462499,6/5/2015 5:30,3466848.078,170358.102,3.657297364,2yr_rough,24.1167,pre-burn
132,7,y,y,31.296625,-84.455064,6/5/2015 12:37,3467631.666,171091.655,17.75440264,1yr_rough,14.6875,pre-burn
133,7,y,0,31.294953,-84.457391,6/13/2015 6:16,3467453.133,170864.195,21.28710263,1_yr_rough,0,post-burn
134,9,y,0,31.296701,-84.455336,6/13/2015 7:04,3467640.854,171066.026,8.566902636,1_yr_rough,0,post-burn
135,10,y,0,31.295195,-84.455651,6/13/2015 6:25,3467474.803,171030.706,0.382797366,1_yr_rough,0.478978,post-burn
136,10,y,0,31.29619,-84.456511,6/13/2015 6:54,3467587.642,170952.311,8.220997367,1_yr_rough,0,post-burn
137,13,y,NA,31.296294,-84.456578,6/13/2015 6:53,3467599.457,170946.301,20.03689737,1_yr_rough,0,post-burn
138,13,y,1,31.295913,-84.456774,6/13/2015 6:42,3467557.73,170926.243,13.30989737,1_yr_rough,0,post-burn
139,13,y,1,31.296808,-84.455011,6/13/2015 7:03,3467651.756,171097.343,2.339841844,1_yr_rough,0,post-burn
140,16,y,0,31.294459,-84.456987,6/13/2015 7:54,3467397.066,170900.961,7.354602633,1_yr_rough,0,post-burn
141,18,y,0,31.29603,-84.455773,6/13/2015 6:58,3467567.768,171022.034,11.65270263,1_yr_rough,0.276974,post-burn
142,20,y,1,31.29814,-84.455475,6/13/2015 8:51,3467800.861,171057.732,11.67149737,1_yr_rough,13.217,post-burn
143,25,y,0,31.297282,-84.456152,6/13/2015 8:45,3467707.748,170990.254,11.67270264,1_yr_rough,0.269027,post-burn
144,27,y,1,31.296277,-84.455757,6/13/2015 6:59,3467595.138,171024.431,15.71799737,1_yr_rough,0.239601,post-burn
145,30,y,0,31.295674,-84.455779,6/13/2015 6:36,3467528.304,171020.212,16.11630264,1_yr_rough,0.510969,post-burn
146,30,y,1,31.294012,-84.456,6/13/2015 8:20,3467344.604,170993.369,10.18319736,1_yr_rough,0,post-burn
147,31,y,0,31.295895,-84.455169,6/13/2015 6:31,3467550.993,171079.119,6.572597364,1_yr_rough,3.89245,post-burn
148,31,n,0,31.295789,-84.455543,6/13/2015 6:35,3467540.341,171043.118,4.080002636,1_yr_rough,0.181522,post-burn
149,32,y,0,31.29509,-84.455894,6/13/2015 6:23,3467463.869,171007.256,10.55160263,1_yr_rough,0,post-burn
150,32,y,1,31.294874,-84.457408,6/13/2015 6:15,3467444.363,170862.231,30.05730263,1_yr_rough,0,post-burn
151,33,y,0,31.297448,-84.455317,6/13/2015 8:48,3467723.647,171070.429,4.226697363,1_yr_rough,0.789943,post-burn
152,33,y,0,31.295283,-84.455167,6/13/2015 6:28,3467483.074,171077.174,8.653397366,1_yr_rough,0.490934,post-burn
153,33,y,1,31.297964,-84.455675,6/13/2015 8:52,3467781.945,171038.101,7.475602634,1_yr_rough,19.2605,post-burn
154,34,y,0,31.295493,-84.455815,6/13/2015 6:24,3467508.352,171016.128,33.93099737,1_yr_rough,0.566323,post-burn
155,34,y,0,31.29595,-84.455323,6/13/2015 6:33,3467557.542,171064.625,13.12169736,1_yr_rough,2.1578,post-burn
156,35,y,0,31.297289,-84.455974,6/13/2015 8:46,3467707.967,171007.244,11.45350264,1_yr_rough,0.340141,post-burn
157,35,y,0,31.295996,-84.455758,6/13/2015 6:37,3467563.948,171023.344,15.47280263,1_yr_rough,0.337159,post-burn
158,35,y,0,31.29471,-84.457419,6/13/2015 7:51,3467426.262,170860.682,21.84179737,1_yr_rough,0,post-burn
159,35,y,0,31.294549,-84.4554,6/13/2015 8:11,3467402.399,171052.451,2.021602634,1_yr_rough,0,post-burn
160,35,y,0,31.293834,-84.456059,6/13/2015 8:21,3467324.984,170987.116,9.436802635,1_yr_rough,0,post-burn
161,35,y,NA,31.296648,-84.455872,6/13/2015 7:08,3467636.565,171014.769,12.85580263,1_yr_rough,0,post-burn
162,35,y,1,31.295864,-84.4556,6/13/2015 6:35,3467548.812,171037.946,4.391197365,1_yr_rough,0.236872,post-burn
163,35,y,1,31.294788,-84.455435,6/13/2015 8:12,3467428.966,171049.921,24.54509737,1_yr_rough,0,post-burn
164,35,y,1,31.29814,-84.455475,6/13/2015 8:51,3467800.861,171057.732,11.44089737,1_yr_rough,12.5881,post-burn
165,36,y,0,31.294782,-84.456401,6/13/2015 6:19,3467431.133,170957.908,26.71209737,1_yr_rough,0,post-burn
166,36,y,0,31.296886,-84.455421,6/13/2015 7:06,3467661.626,171058.516,12.20559737,1_yr_rough,0,post-burn
167,36,y,0,31.296835,-84.456137,6/13/2015 7:10,3467658.141,170990.122,8.720797364,1_yr_rough,0,post-burn
168,36,y,0,31.294029,-84.45599,6/13/2015 8:20,3467346.452,170994.359,12.03179736,1_yr_rough,0,post-burn
